number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.732059797243372,2026-09-16 17:56:45.760507,2026-09-16 17:57:01.600806,0 days 00:00:15.840299,0.9828439752154666,0.9964666401041485,0.00021930485556643703,1.8205657658407268e-06,128,64,"(3, 5)",32.0,"(3, 7)",64.0,"(5, 7)",32,3,0.1870761961280168,35,3,Adam,,,,36.0,0.7419354838709677,0.7221841106157761,,COMPLETE
1,0.3377730363129978,2026-09-16 17:57:01.951011,2026-09-16 17:57:19.131250,0 days 00:00:17.180239,,,,,256,16,"(5, 7)",64.0,"(5, 7)",,,64,3,0.49409912147023277,12,2,SGD,0.004247058562261873,0.7408680252426811,0.0016172900811143157,39.0,0.3387096774193548,0.33683639520664077,,COMPLETE
2,0.2295476105128259,2026-09-16 17:57:19.275061,2026-09-16 17:57:35.716447,0 days 00:00:16.441386,,,,,128,8,"(5, 7)",64.0,"(3, 7)",,,64,7,0.191460191484347,29,2,SGD,0.00011919481947918739,0.7312885138280583,1.3357240411974112e-06,36.0,0.25483870967741934,0.2042565113482325,,COMPLETE
3,0.24968859983584973,2026-09-16 17:57:35.858677,2026-09-16 17:57:47.286207,0 days 00:00:11.427530,,,,,256,64,"(5, 7)",64.0,"(3, 7)",,,16,5,0.19544131940933984,39,2,SGD,0.00046379219034580355,0.734760956526768,2.2410971619109514e-05,37.0,0.267741935483871,0.23163526418782845,,COMPLETE
4,0.27177027834245415,2026-09-16 17:57:47.427274,2026-09-16 17:57:57.833135,0 days 00:00:10.405861,,,,,128,32,"(5, 7)",32.0,"(3, 5)",,,16,7,0.06834881369964377,15,2,SGD,0.00018658181360124853,0.942237723720879,1.91920011015619e-05,31.0,0.2903225806451613,0.253217976039747,,COMPLETE
5,0.6418319604268778,2026-09-16 17:57:57.971005,2026-09-16 17:58:27.289462,0 days 00:00:29.318457,0.9591825764200673,0.9641389614508133,0.0062261634823634615,0.0035346441441965848,64,16,"(3, 7)",64.0,"(3, 5)",,,128,5,0.1227329213425762,12,2,Adam,,,,47.0,0.635483870967742,0.6481800498860137,,COMPLETE
6,0.5533390077014924,2026-09-16 17:58:27.416681,2026-09-16 17:58:37.136831,0 days 00:00:09.720150,,,,,200,32,"(3, 5)",16.0,"(3, 5)",16.0,"(5, 7)",16,3,0.46168897559920186,39,3,SGD,0.008638073353835195,0.7513620970280441,0.005778755734457461,50.0,0.5451612903225806,0.5615167250804041,,COMPLETE
7,0.5153453089962059,2026-09-16 17:58:37.277720,2026-09-16 17:58:44.120576,0 days 00:00:06.842856,0.9475822037393375,0.9701781599903122,0.0056852051903320934,0.0009184900818511545,256,16,"(5, 7)",,,,,16,5,0.18211632991902205,21,1,Adam,,,,33.0,0.5225806451612903,0.5081099728311215,,COMPLETE
8,0.6055366650952689,2026-09-16 17:58:44.247905,2026-09-16 17:59:05.629518,0 days 00:00:21.381613,,,,,200,32,"(3, 7)",64.0,"(5, 7)",,,64,7,0.29328580472454796,26,2,SGD,0.007390459262954656,0.7247507648481927,1.6096330648219384e-06,43.0,0.603225806451613,0.6078475237389248,,COMPLETE
9,0.23438328573524253,2026-09-16 17:59:05.774668,2026-09-16 17:59:08.150082,0 days 00:00:02.375414,,,,,256,8,"(5, 7)",32.0,"(3, 7)",32.0,"(3, 5)",32,7,0.12794084145950685,24,3,SGD,0.0026455835850385506,0.7283719065887904,9.25685584198963e-05,,,,,PRUNED
