number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_freq,params_first_conv_kernel_time,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,state
16,0.4744537640710571,2026-09-14 23:00:52.324813,2026-09-14 23:02:50.692090,0 days 00:01:58.367277,,,,,64.0,0.18942930198970998,128,3,3,,,,,,,,,128,32,3,5,0.6093663613174813,8.0,1,SGD,0.0042073287015818505,0.7931756860638831,8.261900636047076e-05,45.0,0.47419354838709676,0.4747139797550174,COMPLETE
17,0.5247545530150461,2026-09-14 23:02:50.850540,2026-09-14 23:04:51.649073,0 days 00:02:00.798533,,,,,64.0,0.10092577607962665,128,3,3,,,,,,,,,64,32,3,5,0.4019291467234961,11.0,1,SGD,0.030804765254645296,0.7348646394477129,0.001199961776546694,49.0,0.5193548387096775,0.5301542673204148,COMPLETE
18,0.3524018079303758,2026-09-14 23:04:51.808266,2026-09-14 23:06:24.541623,0 days 00:01:32.733357,,,,,16.0,0.16150122477422066,128,3,1,0.10158914403735211,32.0,5.0,1.0,,,,,64,32,3,5,0.5584917727720003,11.0,2,SGD,0.04772716145256086,0.7012745404482426,0.0016019128082544968,,,,PRUNED
19,0.3909942845277349,2026-09-14 23:06:24.694487,2026-09-14 23:09:15.574200,0 days 00:02:50.879713,,,,,32.0,0.2911655537772432,128,5,2,,,,,,,,,64,64,3,7,0.4171696849305699,15.0,1,SGD,0.0012006955506702966,0.7422198984587228,0.0022046367325174736,,,,PRUNED
20,0.34429247111862193,2026-09-14 23:09:15.728085,2026-09-14 23:10:14.334455,0 days 00:00:58.606370,,,,,64.0,0.1925462730840251,32,3,3,,,,,,,,,64,128,3,5,0.29186666305897546,17.0,1,SGD,0.03642798041159163,0.8261592485554714,2.6595024517499022e-05,,,,PRUNED
21,0.49967347215770797,2026-09-14 23:10:14.488630,2026-09-14 23:12:05.221989,0 days 00:01:50.733359,,,,,64.0,0.10801915214932503,128,3,3,,,,,,,,,128,32,3,5,0.3414904967239829,10.0,1,SGD,0.01007855493100361,0.7532233478264727,0.0001776399920103196,47.0,0.5,0.499346944315416,COMPLETE
22,0.42741810611636766,2026-09-14 23:12:05.378171,2026-09-14 23:13:29.470132,0 days 00:01:24.091961,,,,,64.0,0.13699795791407243,128,3,3,,,,,,,,,64,32,3,5,0.37196412185713285,8.0,1,SGD,0.00864080727650821,0.812440686097904,0.00030196733819048646,,,,PRUNED
23,0.5136139931235488,2026-09-14 23:13:29.618468,2026-09-14 23:15:20.320187,0 days 00:01:50.701719,,,,,64.0,0.10162108079193023,128,3,3,,,,,,,,,128,32,3,5,0.24528876417912748,11.0,1,SGD,0.028938123303029105,0.7348258509423042,6.893053018879352e-05,47.0,0.5096774193548387,0.5175505668922589,COMPLETE
24,0.5121876265310727,2026-09-14 23:15:20.489215,2026-09-14 23:17:11.214983,0 days 00:01:50.725768,,,,,64.0,0.14231956468575604,128,3,3,,,,,,,,,128,32,3,5,0.23565612376085315,12.0,1,SGD,0.04386450755458354,0.7322168972465063,5.2820150560337214e-05,48.0,0.5193548387096775,0.5050204143524681,COMPLETE
25,0.37692816500580784,2026-09-14 23:17:11.365117,2026-09-14 23:17:33.643801,0 days 00:00:22.278684,,,,,64.0,0.14120852559016334,128,3,3,,,,,,,,,64,32,3,5,0.21146552126645543,11.0,1,SGD,0.028411512624942382,0.7314966443225248,1.5541728851495446e-05,,,,PRUNED
26,0.2866033180518708,2026-09-14 23:17:33.793771,2026-09-14 23:17:57.549270,0 days 00:00:23.755499,0.9887098222608925,0.9922019759183536,0.001608637677319293,0.006721745240881962,64.0,0.17933659441722594,128,5,3,0.48923918932764704,16.0,3.0,2.0,,,,,128,32,3,7,0.11417461936755266,14.0,2,Adam,,,,,,,PRUNED
27,0.3346905810984009,2026-09-14 23:17:57.697840,2026-09-14 23:18:19.965178,0 days 00:00:22.267338,,,,,64.0,0.1019529440028588,128,3,3,,,,,,,,,64,32,3,5,0.30646699812466544,11.0,1,SGD,0.06215780240153665,0.7617312421409452,0.0025721491059605994,,,,PRUNED
