number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_block_3_dropout,params_block_3_filters,params_block_3_kernel,params_block_3_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_size,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.36110350286323006,2026-09-16 19:40:44.015366,2026-09-16 19:46:05.350209,0 days 00:05:21.334843,0.9828439752154666,0.9964666401041485,0.00021930485556643703,1.8205657658407268e-06,64.0,0.2216968971838151,8,5,1,0.41407038455720546,16,5,3,,,,,,,,,256,16,7,0.5850384088698767,9.0,2,Adam,,,,36.0,0.38064516129032255,0.3415618444361376,,COMPLETE
1,0.4378758092950019,2026-09-16 19:46:05.501005,2026-09-16 19:51:35.797808,0 days 00:05:30.296803,0.9372617377558581,0.9330567126827797,0.0001705053926026929,0.0028340904295147754,256.0,0.1783931449676581,32,5,2,0.15636968998990508,64,3,3,0.42618457138193366,128.0,3.0,1.0,,,,,256,32,5,0.13813501017161417,9.0,3,Adam,,,,46.0,0.44516129032258067,0.4305903282674232,,COMPLETE
2,0.3318397969513235,2026-09-16 19:51:35.939951,2026-09-16 19:55:47.169283,0 days 00:04:11.229332,0.9215046223608592,0.941699359214563,0.005265761277157428,1.0661259689433902e-06,64.0,0.19971689165954998,8,3,3,0.35336150260416943,32,3,2,0.45843651996939727,32.0,3.0,1.0,,,,,64,32,3,0.23326468628243816,6.0,3,Adam,,,,40.0,0.3548387096774194,0.30884088422522765,,COMPLETE
3,0.1292573320742407,2026-09-16 19:55:47.308197,2026-09-16 20:03:35.102394,0 days 00:07:47.794197,,,,,256.0,0.2957811041110252,32,7,1,0.3534118843043579,16,5,1,,,,,,,,,256,32,7,0.1099526973567137,13.0,2,SGD,0.0001325334260006654,0.8713589535245901,0.0005131654955148327,50.0,0.13548387096774195,0.12303079318073944,,COMPLETE
4,0.2904805877060873,2026-09-16 20:03:35.249331,2026-09-16 20:07:25.396925,0 days 00:03:50.147594,,,,,64.0,0.35324058290930715,32,7,3,0.1646514856378455,64,5,1,0.16432322056699947,32.0,3.0,2.0,0.2301598792637071,128.0,3.0,2.0,256,16,3,0.24639378602745016,20.0,4,SGD,0.000190996013855054,0.8066375828872356,1.150295632191274e-05,48.0,0.3096774193548387,0.27128375605733585,,COMPLETE
5,0.2345215048164628,2026-09-16 20:07:25.505257,2026-09-16 20:08:19.944433,0 days 00:00:54.439176,0.9728322300699137,0.974002784913645,0.00019061980918553997,0.00011839097834757703,256.0,0.48666192761746785,32,7,2,0.47446190966431245,16,3,3,,,,,,,,,64,16,5,0.5182094445971608,16.0,2,Adam,,,,,,,,PRUNED
6,,2026-09-16 20:08:20.055725,2026-09-16 20:08:20.143238,0 days 00:00:00.087513,,,,,,0.21461650085131379,16,3,3,0.1863284109987373,16,5,3,0.3904365334890646,32.0,3.0,3.0,0.1313825525369064,64.0,3.0,1.0,,16,5,,,4,,,,,,,,,PRUNED
7,0.1884386142069578,2026-09-16 20:08:20.239029,2026-09-16 20:09:27.532522,0 days 00:01:07.293493,,,,,256.0,0.267840024971116,32,3,1,0.3814631437520095,64,3,3,,,,,,,,,256,16,7,0.48105619052058624,5.0,2,SGD,0.002002418955187057,0.8155663729752383,0.0002906701215322915,,,,,PRUNED
8,,2026-09-16 20:09:27.641443,2026-09-16 20:09:27.736263,0 days 00:00:00.094820,,,,,,0.1783164539157186,32,3,2,0.10930877429433035,32,3,3,0.3940284175215544,32.0,3.0,3.0,0.26504707076457057,64.0,3.0,3.0,,8,7,,,4,,,,,,,,,PRUNED
9,0.23979369306598083,2026-09-16 20:09:27.825366,2026-09-16 20:24:23.332728,0 days 00:14:55.507362,,,,,256.0,0.46215279056770553,32,5,1,0.2314658181479664,64,5,1,0.12302350400665772,128.0,3.0,1.0,0.40460425268698896,256.0,3.0,1.0,64,16,7,0.15090262845111516,20.0,4,SGD,0.02921327035221024,0.904810245875384,2.1154127741888562e-06,,,,,PRUNED
