number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_freq,params_first_conv_kernel_time,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
32,0.5760806224685324,2026-09-15 22:29:30.049801,2026-09-15 22:39:35.799973,0 days 00:10:05.750172,,,,,32.0,0.11837677263355918,64,7,3,0.3428760387782084,128.0,5.0,1.0,,,,,256,64,5,5,0.6307168373303929,5.0,2,SGD,0.007325510796524471,0.816862429809145,4.153857376261796e-06,45.0,0.5612903225806452,0.5908709223564198,"{""batch_size"": 32, ""block_0_dropout"": 0.11837677263355918, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""256"", ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6307168373303929, ""lr_patience"": 5, ""n_blocks"": 2, ""optimizer"": ""SGD""}",COMPLETE
33,0.6526240279503179,2026-09-15 22:39:35.894955,2026-09-15 22:50:56.735202,0 days 00:11:20.840247,,,,,16.0,0.1442210733338405,64,7,3,0.3238113015623801,128.0,5.0,1.0,0.11100985746662545,16.0,7.0,3.0,256,64,5,5,0.6020207845638774,7.0,3,SGD,0.00977130903226635,0.8592802207875807,9.906495012049895e-06,50.0,0.6483870967741936,0.6568609591264423,"{""batch_size"": 16, ""block_0_dropout"": 0.1442210733338405, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""256"", ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6020207845638774, ""lr_patience"": 7, ""n_blocks"": 3, ""optimizer"": ""SGD""}",COMPLETE
34,0.3059772563471659,2026-09-15 22:50:56.848737,2026-09-15 22:52:05.166440,0 days 00:01:08.317703,,,,,64.0,0.11382364580088766,128,7,3,0.27910441014851645,64.0,5.0,1.0,0.4861040136568329,16.0,7.0,1.0,128,16,3,5,0.6919482111542072,9.0,3,SGD,0.004664900013272564,0.8304067917520832,2.5371299411452635e-06,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.11382364580088766, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 16, ""first_conv_kernel_freq"": 3, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6919482111542072, ""lr_patience"": 9, ""n_blocks"": 3, ""optimizer"": ""SGD""}",PRUNED
35,0.35840716349536517,2026-09-15 22:52:05.279374,2026-09-15 22:53:34.625404,0 days 00:01:29.346030,,,,,32.0,0.10636856883333703,128,7,3,0.3828667877959478,128.0,5.0,1.0,0.1565874873956394,16.0,5.0,3.0,128,16,7,7,0.589162199375185,7.0,3,SGD,0.014586892878516161,0.7578430225793115,1.1764554326345069e-06,,,,"{""batch_size"": 32, ""block_0_dropout"": 0.10636856883333703, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 16, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 7, ""lr_factor"": 0.589162199375185, ""lr_patience"": 7, ""n_blocks"": 3, ""optimizer"": ""SGD""}",PRUNED
36,0.34534581383605545,2026-09-15 22:53:34.753766,2026-09-15 22:57:50.659578,0 days 00:04:15.905812,,,,,64.0,0.11399214106561499,64,7,2,0.4059520752259776,128.0,5.0,1.0,0.14614928279931785,64.0,7.0,3.0,256,128,5,5,0.6842227957474394,8.0,3,SGD,0.0027892860325275963,0.8739772743545585,4.7650096875809615e-06,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.11399214106561499, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 2, ""fc_hidden"": ""256"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6842227957474394, ""lr_patience"": 8, ""n_blocks"": 3, ""optimizer"": ""SGD""}",PRUNED
37,0.31523044471435907,2026-09-15 22:57:50.771518,2026-09-15 23:01:51.990512,0 days 00:04:01.218994,0.989706460740305,0.9004743374204435,0.00010305723121837317,0.00015896802818134203,64.0,0.11119201096004927,128,7,3,0.33332032034828507,32.0,3.0,3.0,,,,,128,128,7,5,0.5805949325159021,8.0,2,Adam,,,,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.11119201096004927, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.5805949325159021, ""lr_patience"": 8, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
38,0.571987810556035,2026-09-15 23:01:52.078011,2026-09-15 23:12:07.722093,0 days 00:10:15.644082,,,,,64.0,0.19667364013832095,128,7,3,0.3632941396043606,16.0,7.0,1.0,0.13940198774931215,128.0,7.0,3.0,256,64,5,3,0.5624411707225803,5.0,3,SGD,0.006867746966845731,0.8070021910071415,2.1199419103510477e-06,50.0,0.5612903225806452,0.5826852985314247,"{""batch_size"": 64, ""block_0_dropout"": 0.19667364013832095, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""256"", ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 3, ""lr_factor"": 0.5624411707225803, ""lr_patience"": 5, ""n_blocks"": 3, ""optimizer"": ""SGD""}",COMPLETE
39,0.5052162646454146,2026-09-15 23:12:07.833908,2026-09-15 23:18:54.257798,0 days 00:06:46.423890,,,,,64.0,0.11993773577090724,64,3,3,0.21688505717464562,64.0,5.0,1.0,0.18917223207848963,16.0,7.0,3.0,256,64,5,5,0.5972880475355162,5.0,3,SGD,0.03522674463009297,0.8471977134203215,1.739762398307648e-05,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.11993773577090724, ""block_0_filters"": 64, ""block_0_kernel"": 3, ""block_0_stride"": 3, ""fc_hidden"": ""256"", ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.5972880475355162, ""lr_patience"": 5, ""n_blocks"": 3, ""optimizer"": ""SGD""}",PRUNED
40,,2026-09-15 23:18:54.348228,2026-09-15 23:18:54.458793,0 days 00:00:00.110565,,,,,,0.13642310490728193,64,3,3,0.27889088250605976,32.0,3.0,3.0,0.10391833164924072,16.0,7.0,2.0,,64,5,5,,,3,,,,,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.13642310490728193, ""block_0_filters"": 64, ""block_0_kernel"": 3, ""block_0_stride"": 3, ""fc_hidden"": ""256"", ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.49550158311169334, ""lr_patience"": 8, ""n_blocks"": 3, ""optimizer"": ""SGD""}",PRUNED
41,0.3836593744971639,2026-09-15 23:18:54.555091,2026-09-15 23:25:00.896378,0 days 00:06:06.341287,,,,,16.0,0.21921512821243178,64,7,1,0.32486917689737566,128.0,5.0,1.0,0.10214582067514053,16.0,7.0,3.0,256,64,5,5,0.5301486675389653,6.0,3,SGD,0.00987244699474914,0.8614824201310798,9.160264809414113e-06,,,,"{""block_0_dropout"": 0.21921512821243178, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 1, ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""n_blocks"": 3}",PRUNED
42,0.6147330532608477,2026-09-15 23:25:01.011523,2026-09-15 23:44:41.835502,0 days 00:19:40.823979,0.9451699086116896,0.9279293589382185,0.00035081805027843623,1.2089576924520956e-06,16.0,0.1339453131796922,32,7,3,0.31851827064965715,128.0,5.0,1.0,0.13678139595730593,16.0,7.0,3.0,256,128,5,5,0.4964020940856516,7.0,3,Adam,,,,49.0,0.6096774193548387,0.6197886871668568,"{""block_0_dropout"": 0.1339453131796922, ""block_0_filters"": 32, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""n_blocks"": 3}",COMPLETE
43,0.3106968879446071,2026-09-15 23:44:41.928979,2026-09-15 23:46:53.937975,0 days 00:02:12.008996,,,,,16.0,0.14390559017011137,64,7,3,0.34848232259071815,128.0,5.0,1.0,0.13309578890479834,16.0,7.0,3.0,256,64,5,3,0.5147988756812854,6.0,3,SGD,0.024267317351965304,0.891717709925226,8.799265022111007e-06,,,,"{""block_0_dropout"": 0.14390559017011137, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 3, ""n_blocks"": 3}",PRUNED
44,0.42312495269467876,2026-09-15 23:46:54.046339,2026-09-15 23:51:33.752040,0 days 00:04:39.705701,,,,,32.0,0.1813657347493912,64,7,3,0.3805459433396901,128.0,7.0,1.0,0.17376379156154786,16.0,7.0,3.0,64,64,5,5,0.5428064108127713,7.0,3,SGD,0.010461579400342463,0.8700690544955485,1.1138905032153713e-05,,,,"{""block_0_dropout"": 0.1813657347493912, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""n_blocks"": 3}",PRUNED
45,0.33996516313941916,2026-09-15 23:51:33.871656,2026-09-15 23:56:06.252810,0 days 00:04:32.381154,,,,,16.0,0.1425506141121767,64,7,3,0.2806721235922975,16.0,5.0,1.0,0.24745257831049802,16.0,5.0,1.0,256,128,7,7,0.6481680806595125,10.0,3,SGD,0.0039917073030616155,0.9317059845303773,4.8901969611674965e-05,,,,"{""block_0_dropout"": 0.1425506141121767, ""block_0_filters"": 64, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 7, ""n_blocks"": 3}",PRUNED
46,0.23292983178319848,2026-09-15 23:56:06.366386,2026-09-16 00:06:30.079977,0 days 00:10:23.713591,0.9204747118616204,0.9996550665409739,0.002209810813896001,0.009208984012732147,16.0,0.13116797495837793,128,7,1,0.44141348076656295,128.0,5.0,3.0,0.12920313227191352,16.0,7.0,3.0,256,128,3,7,0.6098452961569566,6.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.13116797495837793, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 1, ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 3, ""first_conv_kernel_time"": 7, ""n_blocks"": 3}",PRUNED
47,0.6272168620227427,2026-09-16 00:06:30.180512,2026-09-16 00:15:39.722796,0 days 00:09:09.542284,,,,,32.0,0.10590620326176979,32,7,3,0.26165162876737313,128.0,3.0,1.0,0.12721412844846428,64.0,7.0,3.0,256,64,5,5,0.652220372659688,19.0,3,SGD,0.016064304993935012,0.8885691052508538,5.595155948229725e-06,50.0,0.6258064516129033,0.6286272724325822,"{""block_0_dropout"": 0.10590620326176979, ""block_0_filters"": 32, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 5, ""first_conv_kernel_time"": 5, ""n_blocks"": 3}",COMPLETE
48,0.7346600505014207,2026-09-16 00:15:39.838806,2026-09-16 00:35:44.754413,0 days 00:20:04.915607,,,,,64.0,0.22755642425373673,128,7,3,0.22293621598035196,128.0,5.0,1.0,0.10067836735213319,128.0,7.0,3.0,256,128,3,7,0.4665150201338265,6.0,3,SGD,0.005433803800152958,0.8279316031655697,2.2309652064491123e-05,46.0,0.7258064516129032,0.743513649389938,"{""block_0_dropout"": 0.22755642425373673, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 3, ""first_conv_kernel_time"": 7, ""n_blocks"": 3}",COMPLETE
49,0.5033699687667105,2026-09-16 00:35:44.850333,2026-09-16 00:51:20.281814,0 days 00:15:35.431481,,,,,64.0,0.30304846376007466,128,7,3,0.2284959358652681,64.0,7.0,1.0,0.17093412871433816,128.0,7.0,3.0,64,128,3,7,0.3407360335403514,6.0,3,SGD,0.001893621448265435,0.8397660064336439,1.9835608201130154e-05,,,,"{""block_0_dropout"": 0.30304846376007466, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 3, ""first_conv_kernel_time"": 7, ""n_blocks"": 3}",PRUNED
