number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_block_3_dropout,params_block_3_filters,params_block_3_kernel,params_block_3_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_size,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
12,,2026-09-16 13:12:35.145448,2026-09-16 13:12:35.303044,0 days 00:00:00.157596,,,,,,0.18485013234483086,32,7,3,0.22403988911096967,64,3,3,0.36049117241691964,64.0,3.0,2.0,0.31566636579968776,64.0,3.0,2.0,,32,7,,,4,,,,,,,,"{""block_0_dropout"": 0.18485013234483086, ""block_0_filters"": 32, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""block_1_dropout"": 0.22403988911096967, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 4}",PRUNED
13,0.15670999507405037,2026-09-16 13:12:35.435668,2026-09-16 13:13:36.810089,0 days 00:01:01.374421,,,,,32.0,0.21519839782348604,32,5,3,0.24008026696204887,32,3,1,,,,,,,,,128,32,3,0.5634715940366181,15.0,2,SGD,0.00019721786020638796,0.701374634699396,1.1263762662387672e-06,,,,"{""block_0_dropout"": 0.21519839782348604, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.24008026696204887, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 1, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 3, ""n_blocks"": 2}",PRUNED
14,0.4480149181457755,2026-09-16 13:13:36.941409,2026-09-16 13:19:35.530940,0 days 00:05:58.589531,0.9782530668667826,0.9441685463687366,0.00011819786349763388,0.009483866909069077,32.0,0.37567708419027385,16,7,3,0.1441921369222075,64,3,2,0.19242674706692914,64.0,3.0,2.0,,,,,256,32,7,0.5699084692258158,19.0,3,Adam,,,,46.0,0.45483870967741935,0.4411911266141316,"{""block_0_dropout"": 0.37567708419027385, ""block_0_filters"": 16, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""block_1_dropout"": 0.1441921369222075, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 3}",COMPLETE
15,0.28417553832047365,2026-09-16 13:19:35.660208,2026-09-16 13:20:49.540043,0 days 00:01:13.879835,0.9377124488135512,0.9983915678194154,0.009849375323536047,0.00021375427464421902,32.0,0.18777890066314146,16,7,3,0.3056359529242877,64,3,3,0.3372427244425864,32.0,3.0,1.0,,,,,256,32,7,0.3560245054725908,12.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.18777890066314146, ""block_0_filters"": 16, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""block_1_dropout"": 0.3056359529242877, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 3}",PRUNED
16,,2026-09-16 13:20:49.663596,2026-09-16 13:20:49.805654,0 days 00:00:00.142058,,,,,,0.32290245593965555,16,7,3,0.11964728661457752,64,5,3,0.10032476313323874,32.0,3.0,2.0,0.2708614531305974,256.0,3.0,3.0,,32,7,,,4,,,,,,,,"{""block_0_dropout"": 0.32290245593965555, ""block_0_filters"": 16, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""block_1_dropout"": 0.11964728661457752, ""block_1_filters"": 64, ""block_1_kernel"": 5, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 4}",PRUNED
17,0.30196567893998216,2026-09-16 13:20:49.909214,2026-09-16 13:21:51.420231,0 days 00:01:01.511017,,,,,32.0,0.40819657669573317,32,7,3,0.3050510252551811,64,3,3,0.41277347841436285,64.0,3.0,1.0,,,,,64,32,3,0.5865032113066107,15.0,3,SGD,0.004854240619361119,0.8276661748162583,2.4655068425936463e-05,,,,"{""block_0_dropout"": 0.40819657669573317, ""block_0_filters"": 32, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""block_1_dropout"": 0.3050510252551811, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 3, ""n_blocks"": 3}",PRUNED
18,0.47329026497393,2026-09-16 13:21:51.537818,2026-09-16 13:27:04.863355,0 days 00:05:13.325537,0.8561888168701102,0.9507630556906035,0.0023800206225251916,1.6044004971096476e-06,32.0,0.14921572150079804,32,5,3,0.3939242917450223,64,3,3,,,,,,,,,128,32,5,0.29787504155916095,10.0,2,Adam,,,,45.0,0.46774193548387094,0.4788385944639891,"{""block_0_dropout"": 0.14921572150079804, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.3939242917450223, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 2}",COMPLETE
19,0.24805581555378248,2026-09-16 13:27:05.000621,2026-09-16 13:30:24.823915,0 days 00:03:19.823294,,,,,32.0,0.4203546458661871,32,5,3,0.23289600574169841,32,3,3,0.2230096758482344,32.0,3.0,1.0,0.48426535233715823,128.0,3.0,1.0,64,128,3,0.5166577519820998,17.0,4,SGD,0.00012024287761985272,0.8338915858050988,0.00608989957112782,,,,"{""block_0_dropout"": 0.4203546458661871, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.23289600574169841, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 128, ""first_conv_kernel_size"": 3, ""n_blocks"": 4}",PRUNED
20,0.11274198818688475,2026-09-16 13:30:24.959354,2026-09-16 13:34:58.275446,0 days 00:04:33.316092,,,,,32.0,0.46261517345012865,32,5,3,0.23784100251013857,32,3,3,,,,,,,,,256,128,3,0.6237555403636676,15.0,2,SGD,0.012635140902450109,0.9863093108683637,1.3333935969223605e-05,,,,"{""block_0_dropout"": 0.46261517345012865, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.23784100251013857, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 128, ""first_conv_kernel_size"": 3, ""n_blocks"": 2}",PRUNED
21,0.49111689558776384,2026-09-16 13:34:58.394162,2026-09-16 13:39:10.041563,0 days 00:04:11.647401,0.8511407086878499,0.9371578392969315,0.0023823379047042963,1.2419003798918091e-06,32.0,0.16314152559930872,32,5,3,0.238664211598132,32,3,3,0.3002816906998512,64.0,3.0,2.0,,,,,128,16,3,0.33085615382456557,9.0,3,Adam,,,,42.0,0.4967741935483871,0.4854595976271406,"{""block_0_dropout"": 0.16314152559930872, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.238664211598132, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 16, ""first_conv_kernel_size"": 3, ""n_blocks"": 3}",COMPLETE
22,0.30065738195190206,2026-09-16 13:39:10.173142,2026-09-16 13:39:59.304226,0 days 00:00:49.131084,0.9417579524846047,0.9292891536918528,0.0001689739518719597,7.523455396989662e-06,32.0,0.24035430721184847,32,5,3,0.20010819599604274,32,3,3,0.29670993834749215,64.0,3.0,2.0,,,,,128,16,3,0.2650285490141423,8.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.24035430721184847, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.20010819599604274, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 16, ""first_conv_kernel_size"": 3, ""n_blocks"": 3}",PRUNED
23,0.2967847223266447,2026-09-16 13:39:59.427668,2026-09-16 13:40:57.010774,0 days 00:00:57.583106,0.8895690467233524,0.9270957546089482,0.00269297452678872,0.0008093381268407661,32.0,0.15180789610497286,32,5,3,0.2930032604900404,32,3,3,0.4426179202915099,64.0,3.0,2.0,,,,,128,32,3,0.4407769129351021,9.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.15180789610497286, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.2930032604900404, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 3, ""n_blocks"": 3}",PRUNED
24,0.3373653632353383,2026-09-16 13:40:57.127245,2026-09-16 13:42:09.437434,0 days 00:01:12.310189,0.9391239923115943,0.9698505064460936,0.00028505805638964776,1.2957675149131202e-05,256.0,0.12301469196016743,16,7,3,0.16365171582278484,64,3,3,0.16936483390043788,64.0,3.0,2.0,,,,,128,16,7,0.36253008757800115,18.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.12301469196016743, ""block_0_filters"": 16, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""block_1_dropout"": 0.16365171582278484, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 16, ""first_conv_kernel_size"": 7, ""n_blocks"": 3}",PRUNED
25,0.343777687215356,2026-09-16 13:42:09.579002,2026-09-16 13:44:44.867659,0 days 00:02:35.288657,0.8763482958662095,0.9268342949285103,0.0022399353046349455,6.325215877118765e-05,128.0,0.46742346373610155,16,7,1,0.2706732637571086,64,3,3,0.29509934474966915,64.0,3.0,2.0,0.21005376191567643,64.0,3.0,2.0,256,32,7,0.6405744591869268,14.0,4,Adam,,,,,,,"{""block_0_dropout"": 0.46742346373610155, ""block_0_filters"": 16, ""block_0_kernel"": 7, ""block_0_stride"": 1, ""block_1_dropout"": 0.2706732637571086, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 4}",PRUNED
26,0.5233310647504619,2026-09-16 13:44:44.991285,2026-09-16 13:50:18.153152,0 days 00:05:33.161867,0.9227714085075336,0.9172151274306594,0.0011269847893993594,0.0004667484206722531,32.0,0.10275122098578243,32,5,2,0.18790271026722932,32,3,3,0.3345633859403414,64.0,3.0,2.0,,,,,128,32,5,0.5146371343722098,11.0,3,Adam,,,,46.0,0.5258064516129032,0.5208556778880207,"{""block_0_dropout"": 0.10275122098578243, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.18790271026722932, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",COMPLETE
27,0.28323229645719233,2026-09-16 13:50:18.278315,2026-09-16 13:51:24.984179,0 days 00:01:06.705864,,,,,32.0,0.12995042212620256,32,5,2,0.2337593345790242,32,3,3,0.3888241265997727,32.0,3.0,1.0,,,,,64,32,5,0.523643610072502,11.0,3,SGD,0.0011633094905930822,0.7617312421409452,0.0006260779798058462,,,,"{""block_0_dropout"": 0.12995042212620256, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.2337593345790242, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",PRUNED
