number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
30,0.34863483151145613,2026-09-17 21:47:23.589209,2026-09-17 21:47:24.962025,0 days 00:00:01.372816,0.9684551554011908,0.9559943593382937,0.0004591674716218387,0.000333744700535381,128,64,"(3, 7)",16.0,"(5, 7)",,,16,7,0.4243684956611745,40,2,Adam,,,,,,,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 16, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.4243684956611745, ""lr_step_size"": 40, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
31,0.4242310576932966,2026-09-17 21:47:25.065950,2026-09-17 21:47:28.151172,0 days 00:00:03.085222,0.8898227682220732,0.9289933001896838,0.0014979072337368922,0.001437800680082368,256,32,"(3, 7)",16.0,"(5, 7)",,,128,7,0.1654664511188187,37,2,Adam,,,,,,,"{""batch_size"": 256, ""block_0_filters"": 32, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 128, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.1654664511188187, ""lr_step_size"": 37, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
32,0.4889574341550011,2026-09-17 21:47:28.273217,2026-09-17 21:47:30.445243,0 days 00:00:02.172026,0.9237110413308149,0.917638030692717,0.0025327554353386694,0.008474259566084935,128,64,"(3, 5)",,,,,64,7,0.22627912698514643,40,1,Adam,,,,,,,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.22627912698514643, ""lr_step_size"": 40, ""n_blocks"": 1, ""optimizer"": ""Adam""}",PRUNED
33,0.48091630754753384,2026-09-17 21:47:30.559985,2026-09-17 21:47:32.998636,0 days 00:00:02.438651,0.9415289478684056,0.9433033432527194,0.0025273410789926174,7.430390399682584e-05,128,64,"(3, 7)",16.0,"(5, 7)",,,64,7,0.2597748633521401,30,2,Adam,,,,,,,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.2597748633521401, ""lr_step_size"": 30, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
34,0.3756996783276505,2026-09-17 21:47:33.130209,2026-09-17 21:47:35.603629,0 days 00:00:02.473420,0.9138938138695863,0.9343536628434602,0.004154238297166934,1.292664232312397e-05,256,64,"(5, 7)",16.0,"(5, 7)",,,64,7,0.206353143938582,37,2,Adam,,,,,,,"{""batch_size"": 256, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(5, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.206353143938582, ""lr_step_size"": 37, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
35,0.3352175364995878,2026-09-17 21:47:35.719676,2026-09-17 21:47:37.497600,0 days 00:00:01.777924,0.9268078009999103,0.9608781546605009,0.0014340570176100975,0.002668725659029565,256,8,"(3, 7)",16.0,"(5, 7)",,,64,7,0.10481935814384336,40,2,Adam,,,,,,,"{""batch_size"": 256, ""block_0_filters"": 8, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.10481935814384336, ""lr_step_size"": 40, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
36,0.8555675772537528,2026-09-17 21:47:37.611563,2026-09-17 21:47:48.096782,0 days 00:00:10.485219,0.9001779381722727,0.9890558752030041,0.0020495554583730364,0.00033555143899358705,200,64,"(3, 7)",16.0,"(5, 7)",,,64,7,0.3486105594079808,39,2,Adam,,,,50.0,0.863905325443787,0.8472298290637187,"{""batch_size"": 200, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.3486105594079808, ""lr_step_size"": 39, ""n_blocks"": 2, ""optimizer"": ""Adam""}",COMPLETE
37,0.3320919400236123,2026-09-17 21:47:48.229316,2026-09-17 21:47:50.565545,0 days 00:00:02.336229,0.8940970068078624,0.9731265715624748,0.005689846008442165,0.0003253617646704486,256,64,"(3, 5)",16.0,"(5, 7)",,,64,7,0.2906975963189581,39,2,Adam,,,,,,,"{""batch_size"": 256, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.2906975963189581, ""lr_step_size"": 39, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
38,0.8212360211765743,2026-09-17 21:47:50.681354,2026-09-17 21:48:00.697713,0 days 00:00:10.016359,0.8744475017788379,0.9899030397228975,0.0029224397292806348,8.075815386997252e-05,200,64,"(3, 5)",8.0,"(5, 7)",,,64,7,0.13591131280421467,37,2,Adam,,,,47.0,0.8284023668639053,0.8140696754892434,"{""batch_size"": 200, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.13591131280421467, ""lr_step_size"": 37, ""n_blocks"": 2, ""optimizer"": ""Adam""}",COMPLETE
39,0.3589754070453976,2026-09-17 21:48:00.815793,2026-09-17 21:48:02.841069,0 days 00:00:02.025276,0.9517257206895819,0.9855634360924966,0.0010052272653573635,0.0004838265425657694,200,64,"(3, 7)",,,,,64,7,0.3959737334886129,35,1,Adam,,,,,,,"{""batch_size"": 200, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 7, ""lr_decay"": 0.3959737334886129, ""lr_step_size"": 35, ""n_blocks"": 1, ""optimizer"": ""Adam""}",PRUNED
