number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_block_3_dropout,params_block_3_filters,params_block_3_kernel,params_block_3_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_size,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
12,0.26185865474745834,2026-09-17 20:38:11.291681,2026-09-17 20:40:33.840362,0 days 00:02:22.548681,0.9396599001867274,0.9353250570837559,0.0001015123825150418,0.00562658180492871,64.0,0.2680025590139372,32,5,3,0.3210759180418873,64,3,3,0.23201292762482023,128.0,3.0,1.0,0.44034571788967014,256.0,3.0,3.0,256,32,5,0.6876553550636466,9.0,4,Adam,,,,,,,"{""block_0_dropout"": 0.2680025590139372, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.3210759180418873, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 4}",PRUNED
13,0.5086796755824605,2026-09-17 20:40:33.946945,2026-09-17 20:43:18.782325,0 days 00:02:44.835380,0.9377070478972264,0.9588434704435519,0.0007259457479364275,5.1905519853860966e-05,128.0,0.2055649785902877,32,5,2,0.22690241308090559,64,3,3,0.2961881509128239,128.0,3.0,1.0,,,,,128,32,5,0.37098036164825715,8.0,3,Adam,,,,50.0,0.5266272189349113,0.4907321322300097,"{""block_0_dropout"": 0.2055649785902877, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.22690241308090559, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",COMPLETE
14,0.41187862868252256,2026-09-17 20:43:18.931374,2026-09-17 20:46:23.077394,0 days 00:03:04.146020,0.9085415715194903,0.9961146071857502,0.000780987381338768,2.3204538977022535e-05,128.0,0.1082912923872042,32,5,1,0.3472148539998572,64,3,3,0.29937865333021163,64.0,3.0,1.0,0.3544973862256166,128.0,3.0,2.0,128,32,5,0.5477463095015158,7.0,4,Adam,,,,44.0,0.4319526627218935,0.3918045946431517,"{""block_0_dropout"": 0.1082912923872042, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 1, ""block_1_dropout"": 0.3472148539998572, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 4}",COMPLETE
15,0.42266845894082405,2026-09-17 20:46:23.215863,2026-09-17 20:49:22.701773,0 days 00:02:59.485910,0.8954226754131689,0.9689209104332411,0.0008717854608689005,3.89441649808242e-05,128.0,0.13351345491650946,32,5,1,0.31380711653262705,32,3,3,0.2881117492312341,64.0,3.0,1.0,,,,,128,32,5,0.38636623282858534,7.0,3,Adam,,,,39.0,0.4437869822485207,0.40154993563312746,"{""block_0_dropout"": 0.13351345491650946, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 1, ""block_1_dropout"": 0.31380711653262705, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",COMPLETE
16,0.16381567197232239,2026-09-17 20:49:22.832036,2026-09-17 20:49:55.999788,0 days 00:00:33.167752,0.8719577647904572,0.9633378979581148,0.0008313492322905595,4.553727373930543e-05,128.0,0.31328869800968523,32,5,1,0.348457625249637,32,3,3,0.321550294283921,64.0,3.0,1.0,,,,,128,16,5,0.37734567556675536,14.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.31328869800968523, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 1, ""block_1_dropout"": 0.348457625249637, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 16, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",PRUNED
17,0.4704146478586687,2026-09-17 20:49:56.124942,2026-09-17 20:52:41.067751,0 days 00:02:44.942809,0.8895519316540555,0.9634094322392063,0.0008903171097161028,0.0002806947344153205,128.0,0.3211182774533561,32,5,2,0.2513786359799904,64,3,2,0.21097939985432823,128.0,3.0,1.0,,,,,128,32,5,0.4028687569005909,7.0,3,Adam,,,,48.0,0.4911242603550296,0.4497050353623078,"{""block_0_dropout"": 0.3211182774533561, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.2513786359799904, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",COMPLETE
18,0.5108170817365657,2026-09-17 20:52:41.179284,2026-09-17 20:55:39.437817,0 days 00:02:58.258533,0.8501682858363813,0.9514426929133146,0.001505054316476214,0.0005164158061089661,128.0,0.25589088955546324,32,5,2,0.26495242925649465,64,3,2,,,,,,,,,128,32,7,0.44668582735443796,11.0,2,Adam,,,,34.0,0.5443786982248521,0.47725546524827933,"{""block_0_dropout"": 0.25589088955546324, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.26495242925649465, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 2}",COMPLETE
19,0.2771763480192223,2026-09-17 20:55:39.581390,2026-09-17 20:56:33.325012,0 days 00:00:53.743622,0.8521647727158504,0.9512805800757691,0.0021564143737035995,0.0006789746020298115,32.0,0.23027823235056621,32,5,2,0.35205939336733233,64,3,2,0.35583574639832083,128.0,3.0,3.0,,,,,128,32,7,0.4533463529358347,12.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.23027823235056621, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.35205939336733233, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 2, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 3}",PRUNED
20,0.1447506061752013,2026-09-17 20:56:33.435568,2026-09-17 20:57:04.918842,0 days 00:00:31.483274,,,,,128.0,0.20607664825228197,8,5,2,0.18728073848002844,16,3,3,,,,,,,,,128,32,5,0.31257841306607825,16.0,2,SGD,0.07061567170837073,0.985598047175544,0.0067272725254837115,,,,"{""block_0_dropout"": 0.20607664825228197, ""block_0_filters"": 8, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.18728073848002844, ""block_1_filters"": 16, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 2}",PRUNED
21,0.45619684340708966,2026-09-17 20:57:05.051240,2026-09-17 20:59:46.626992,0 days 00:02:41.575752,0.8811826239907072,0.9627344601061025,0.0017103360577111792,0.0003686050689657103,128.0,0.286322915875842,32,5,2,0.25347141375416965,64,3,3,0.2209156160415731,128.0,3.0,1.0,,,,,128,32,5,0.4280938147305269,11.0,3,Adam,,,,35.0,0.47928994082840237,0.4331037459857769,"{""block_0_dropout"": 0.286322915875842, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.25347141375416965, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",COMPLETE
