number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,state
10,0.4237065420659423,2026-09-16 06:21:58.890393,2026-09-16 06:22:24.776147,0 days 00:00:25.885754,0.8610096540422132,0.9012298858395373,0.00010744583847151158,1.1565476849678523e-06,128,64,"(3, 5)",,,,,32,3,0.3637201542530425,32,1,Adam,,,,44.0,0.4387818520820385,0.40863123204984614,COMPLETE
11,0.4896287824661124,2026-09-16 06:22:24.937093,2026-09-16 06:22:57.799289,0 days 00:00:32.862196,0.8829200919993141,0.9987528478057919,0.0001366815069090976,1.5727135928416348e-06,200,32,"(3, 7)",8.0,"(5, 7)",64.0,"(3, 7)",64,3,0.3152019246521366,32,3,Adam,,,,43.0,0.4959602237414543,0.48329734119077056,COMPLETE
12,0.7312132665914515,2026-09-16 06:22:57.963717,2026-09-16 06:23:30.284054,0 days 00:00:32.320337,0.9818465438238774,0.9165390725103992,0.0008385895993072572,5.292265935096958e-05,200,64,"(3, 7)",32.0,"(5, 7)",64.0,"(5, 7)",32,7,0.2690558947511455,25,3,Adam,,,,42.0,0.7352392790553138,0.727187254127589,COMPLETE
13,0.7528062574640373,2026-09-16 06:23:30.456432,2026-09-16 06:26:51.954717,0 days 00:03:21.498285,0.9872330322218389,0.9001307455561457,0.0007429118755525648,4.150393531668051e-05,64,64,"(3, 5)",32.0,"(3, 7)",64.0,"(5, 7)",32,3,0.2522021445368735,20,3,Adam,,,,48.0,0.7600994406463643,0.7455130742817102,COMPLETE
14,0.7240319396301373,2026-09-16 06:26:52.132967,2026-09-16 06:30:07.603167,0 days 00:03:15.470200,0.9862583495133013,0.9031088892222963,0.0008349056273047285,6.917430994658702e-05,64,64,"(3, 7)",32.0,"(5, 7)",64.0,"(5, 7)",32,7,0.26728189090762655,18,3,Adam,,,,50.0,0.7240522063393412,0.7240116729209335,COMPLETE
15,0.6693530729382549,2026-09-16 06:30:07.768525,2026-09-16 06:33:15.562105,0 days 00:03:07.793580,0.9462690724354113,0.927865436981907,0.0009002159955727972,3.733951140702656e-05,64,64,"(3, 5)",32.0,"(3, 7)",8.0,"(5, 7)",32,3,0.3832414153438515,20,3,Adam,,,,46.0,0.6687383467992541,0.6699677990772557,COMPLETE
16,0.6752799577715762,2026-09-16 06:33:15.729515,2026-09-16 06:34:04.319001,0 days 00:00:48.589486,0.9899355955596688,0.926270005403346,0.0009749315832717335,5.0498736586743805e-05,200,64,"(3, 7)",16.0,"(5, 7)",64.0,"(5, 7)",128,7,0.24019611485521675,24,3,Adam,,,,50.0,0.6743318831572406,0.6762280323859119,COMPLETE
17,0.604613929792984,2026-09-16 06:34:04.486177,2026-09-16 06:37:10.658940,0 days 00:03:06.172763,0.961143734962401,0.9222518922136589,0.00043226723015780857,0.0002403306366732943,64,64,"(3, 5)",8.0,"(3, 7)",64.0,"(3, 5)",32,3,0.35591430224827836,18,3,Adam,,,,45.0,0.5997513983840895,0.6094764612018784,COMPLETE
18,0.7600127758637347,2026-09-16 06:37:10.831221,2026-09-16 06:37:41.838733,0 days 00:00:31.007512,0.9186366309938276,0.9157567031901193,0.0018133415406167848,1.200901247607026e-05,200,64,"(3, 5)",32.0,"(5, 7)",32.0,"(3, 7)",32,7,0.4053187316279938,27,3,Adam,,,,50.0,0.7650714729645742,0.7549540787628951,COMPLETE
19,0.6714101741111458,2026-09-16 06:37:42.009090,2026-09-16 06:40:48.748406,0 days 00:03:06.739316,0.9148118845429417,0.9364310838276667,0.0024313934940147033,9.594187072988622e-06,64,8,"(3, 5)",32.0,"(5, 7)",32.0,"(3, 7)",32,5,0.4078402625496592,29,3,Adam,,,,47.0,0.6724673710379118,0.6703529771843799,COMPLETE
20,0.7722872495685866,2026-09-16 06:40:48.918359,2026-09-16 06:41:34.029069,0 days 00:00:45.110710,0.9218646767828594,0.9453767463216283,0.0024300775169710967,8.142106593340773e-06,200,64,"(3, 5)",32.0,"(3, 7)",,,128,7,0.4530742239478739,22,2,Adam,,,,50.0,0.7756370416407706,0.7689374574964025,COMPLETE
21,0.6614527814815947,2026-09-16 06:41:34.193406,2026-09-16 06:42:17.728850,0 days 00:00:43.535444,0.9162379599950935,0.9462971468475225,0.002389848158699852,8.809290922821103e-06,200,64,"(3, 5)",,,,,128,7,0.43093531043018674,21,1,Adam,,,,49.0,0.6637663144810442,0.6591392484821453,COMPLETE
22,0.7469592669329019,2026-09-16 06:42:17.909755,2026-09-16 06:43:03.773027,0 days 00:00:45.863272,0.9159470261340712,0.9111833728319212,0.0023897229619395375,8.413720956754863e-06,200,64,"(3, 5)",32.0,"(3, 7)",,,128,7,0.49239183237959194,16,2,Adam,,,,50.0,0.7551274083281542,0.7387911255376496,COMPLETE
23,0.7257517700762913,2026-09-16 06:43:03.947168,2026-09-16 06:43:50.168399,0 days 00:00:46.221231,0.8979883140294959,0.9474489291726795,0.0016976407471668473,1.3286804670646454e-05,200,64,"(3, 5)",32.0,"(3, 7)",,,128,7,0.44422412502112923,28,2,Adam,,,,50.0,0.7377252952144189,0.7137782449381638,COMPLETE
24,0.41901767825515024,2026-09-16 06:43:50.330370,2026-09-16 06:44:01.050237,0 days 00:00:10.719867,0.9306695964147561,0.9109092764596864,0.0038503826716917307,0.00018496191628762112,64,64,"(3, 5)",,,,,128,7,0.34451378445558056,22,1,Adam,,,,,,,PRUNED
25,0.5178763326982514,2026-09-16 06:44:01.226166,2026-09-16 06:44:13.009864,0 days 00:00:11.783698,0.8895312985600147,0.9562034837779062,0.0004517736152793005,3.4978844939083822e-06,200,64,"(3, 5)",32.0,"(3, 7)",32.0,"(3, 7)",32,3,0.4029652489824284,27,3,Adam,,,,,,,PRUNED
26,0.4511161732369573,2026-09-16 06:44:13.176075,2026-09-16 06:44:21.906823,0 days 00:00:08.730748,0.8614315122985838,0.9790145238267843,0.001349526530070489,2.1275127123723022e-05,200,64,"(3, 5)",8.0,"(3, 7)",,,32,7,0.32472912954250494,32,2,Adam,,,,,,,PRUNED
27,0.38864761267070214,2026-09-16 06:44:22.087603,2026-09-16 06:44:54.359809,0 days 00:00:32.272206,0.9356694527255247,0.9361381672270727,0.0004592422809751336,0.00013025989097985324,64,8,"(3, 5)",16.0,"(3, 5)",16.0,"(3, 7)",128,7,0.4612691102633815,23,3,Adam,,,,,,,PRUNED
28,0.4329953405313634,2026-09-16 06:44:54.527300,2026-09-16 06:45:00.868938,0 days 00:00:06.341638,0.905448167467168,0.9002678286689154,0.004017014978987202,3.493413963332817e-06,200,16,"(3, 5)",32.0,"(3, 7)",,,32,5,0.4197918721100655,18,2,Adam,,,,,,,PRUNED
29,0.3496985240728253,2026-09-16 06:45:01.032616,2026-09-16 06:45:13.850807,0 days 00:00:12.818191,0.8749532387734673,0.9124680215136686,0.009773321782871412,0.0004739562732100271,128,64,"(3, 5)",32.0,"(5, 7)",8.0,"(3, 7)",32,3,0.22749844354208226,15,3,Adam,,,,,,,PRUNED
30,0.5008781709156795,2026-09-16 06:45:14.025956,2026-09-16 06:45:33.700964,0 days 00:00:19.675008,0.9635069198158539,0.936787531293124,0.0013940653990237575,2.3694642512970996e-05,64,64,"(3, 5)",,,,,128,3,0.37989995500931373,35,1,Adam,,,,,,,PRUNED
31,0.7564227648266714,2026-09-16 06:45:33.865820,2026-09-16 06:46:19.392625,0 days 00:00:45.526805,0.922396603991368,0.908744875796614,0.0023650495352731515,5.151056904818747e-06,200,64,"(3, 5)",32.0,"(3, 7)",,,128,7,0.4960317553101439,15,2,Adam,,,,46.0,0.7613424487259167,0.751503080927426,COMPLETE
32,0.7477219462414377,2026-09-16 06:46:19.572490,2026-09-16 06:47:05.923470,0 days 00:00:46.350980,0.9299339399305296,0.9196483386690578,0.0036538609628814695,5.730842442884523e-06,200,64,"(3, 5)",32.0,"(3, 7)",,,128,7,0.49700045965428497,13,2,Adam,,,,42.0,0.7513983840894966,0.7440455083933788,COMPLETE
33,0.7419937627252662,2026-09-16 06:47:06.085856,2026-09-16 06:47:52.574525,0 days 00:00:46.488669,0.9253649565646997,0.9076899252040799,0.001958891202958974,1.9264094122749478e-05,200,64,"(3, 5)",32.0,"(3, 7)",,,128,7,0.46180110473044006,19,2,Adam,,,,42.0,0.7420758234928527,0.7419117019576797,COMPLETE
34,0.6549430965125578,2026-09-16 06:47:52.740806,2026-09-16 06:48:19.861363,0 days 00:00:27.120557,0.9061272083010288,0.9064499468257415,0.000595792167667263,3.6533314044459326e-06,200,64,"(3, 5)",32.0,"(3, 7)",,,64,7,0.47852923170682216,14,2,Adam,,,,,,,PRUNED
35,0.32777863806510904,2026-09-16 06:48:20.027064,2026-09-16 06:48:28.516772,0 days 00:00:08.489708,,,,,256,16,"(3, 5)",32.0,"(3, 7)",,,128,7,0.44107940195001577,10,2,SGD,0.09902410175048139,0.988760762494395,0.0003328889309176351,,,,PRUNED
36,0.4309239384974451,2026-09-16 06:48:28.675500,2026-09-16 06:48:40.259083,0 days 00:00:11.583583,0.9451455841030145,0.9310140483150677,0.0030773440657194274,5.417647399442174e-06,128,64,"(5, 7)",32.0,"(3, 7)",,,16,7,0.3929994805154129,30,2,Adam,,,,,,,PRUNED
37,0.18876591878310534,2026-09-16 06:48:40.430454,2026-09-16 06:48:49.083901,0 days 00:00:08.653447,,,,,200,8,"(3, 5)",32.0,"(3, 7)",32.0,"(3, 5)",128,3,0.1455363959511705,16,3,SGD,0.07800887088118508,0.8456346895989871,0.009320764891067786,,,,PRUNED
38,0.4656237972020114,2026-09-16 06:48:49.242853,2026-09-16 06:48:56.487254,0 days 00:00:07.244401,0.9229148877919342,0.9170792393754562,0.0014398496425407886,2.6247645213936046e-05,256,32,"(3, 5)",16.0,"(5, 7)",,,64,5,0.0630159927486714,11,2,Adam,,,,,,,PRUNED
39,0.3297325586944798,2026-09-16 06:48:56.652380,2026-09-16 06:49:01.222403,0 days 00:00:04.570023,0.9756751565279129,0.9835596807996108,0.0002500638605396973,1.2501068591249762e-05,200,64,"(5, 7)",,,,,16,7,0.47446655520731457,22,1,Adam,,,,,,,PRUNED
40,0.2246297133868706,2026-09-16 06:49:01.386018,2026-09-16 06:49:15.264433,0 days 00:00:13.878415,,,,,128,16,"(3, 5)",8.0,"(3, 7)",32.0,"(3, 7)",32,3,0.444916804753592,26,3,SGD,0.0009842034515289038,0.8164041552932217,9.832039079059457e-06,,,,PRUNED
41,0.7519075663567261,2026-09-16 06:49:15.433787,2026-09-16 06:50:00.971836,0 days 00:00:45.538049,0.9403345719013309,0.9194798768042767,0.0047407278787077334,2.3538481739336988e-06,200,64,"(3, 5)",32.0,"(3, 7)",,,128,7,0.49897266864731205,14,2,Adam,,,,45.0,0.7538844002486016,0.7499307324648506,COMPLETE
42,0.7635352409966625,2026-09-16 06:50:01.135057,2026-09-16 06:50:47.691829,0 days 00:00:46.556772,0.904843089696393,0.9149760633789635,0.005755074909494271,2.39056471788208e-06,200,64,"(3, 5)",32.0,"(3, 7)",,,128,7,0.4890545473816581,16,2,Adam,,,,48.0,0.7675574891236793,0.7595129928696458,COMPLETE
43,0.6991637533612005,2026-09-16 06:50:47.857491,2026-09-16 06:51:34.671071,0 days 00:00:46.813580,0.9028630042908573,0.9085945875963288,0.008208625395372073,1.957652005168019e-06,200,64,"(3, 5)",32.0,"(3, 7)",,,128,7,0.0969381194942458,17,2,Adam,,,,50.0,0.6954630205096333,0.7028644862127678,COMPLETE
44,0.2628940416113403,2026-09-16 06:51:34.835830,2026-09-16 06:51:44.249280,0 days 00:00:09.413450,0.8928529539088247,0.9445618588746354,0.006015218977584669,0.008013561719261476,200,32,"(3, 5)",64.0,"(3, 5)",,,128,7,0.4209522664974108,20,2,Adam,,,,,,,PRUNED
45,0.7520123981719612,2026-09-16 06:51:44.415329,2026-09-16 06:52:34.382364,0 days 00:00:49.967035,0.9102895526051001,0.959827575515194,0.0027904987377410724,5.367612944712665e-06,200,64,"(5, 7)",32.0,"(3, 7)",,,128,7,0.4737303932109755,13,2,Adam,,,,44.0,0.7563704164077066,0.7476543799362158,COMPLETE
46,0.32915418184816825,2026-09-16 06:52:34.542787,2026-09-16 06:52:40.097403,0 days 00:00:05.554616,,,,,256,64,"(3, 5)",32.0,"(3, 5)",8.0,"(5, 7)",16,5,0.45674371845356765,20,3,SGD,0.026153644183576574,0.8764198773466334,0.0005404177059617249,,,,PRUNED
47,0.7264257927442106,2026-09-16 06:52:40.267273,2026-09-16 06:55:07.584171,0 days 00:02:27.316898,0.9541611119960606,0.9008277149742451,0.0011066109999532186,1.2244720608274635e-06,64,64,"(3, 7)",64.0,"(3, 7)",,,64,7,0.16762604576017973,16,2,Adam,,,,44.0,0.7315102548166563,0.7213413306717648,COMPLETE
48,0.37572274157732044,2026-09-16 06:55:07.758124,2026-09-16 06:55:12.215225,0 days 00:00:04.457101,0.8747612741073386,0.9127449789768316,0.0018899907858311129,2.69559840505653e-06,200,8,"(3, 5)",,,,,32,7,0.20992168221531704,36,1,Adam,,,,,,,PRUNED
49,0.38411404783091374,2026-09-16 06:55:12.379745,2026-09-16 06:55:18.868235,0 days 00:00:06.488490,0.9690176126820689,0.9241219283145613,0.0070313172878805445,0.00010501175280831155,200,32,"(3, 5)",32.0,"(5, 7)",16.0,"(3, 7)",32,3,0.28536990613040736,24,3,Adam,,,,,,,PRUNED
