number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,state
0,0.6282984515682719,2026-09-16 06:14:37.923358,2026-09-16 06:15:54.968333,0 days 00:01:17.044975,0.9828439752154666,0.9964666401041485,0.00021930485556643703,1.8205657658407268e-06,128,64,"(3, 5)",32.0,"(3, 7)",64.0,"(5, 7)",32,3,0.1870761961280168,35,3,Adam,,,,48.0,0.6333126165320074,0.6232842866045363,COMPLETE
1,0.4118694269947799,2026-09-16 06:15:55.151136,2026-09-16 06:16:24.126934,0 days 00:00:28.975798,,,,,256,16,"(5, 7)",64.0,"(5, 7)",,,64,3,0.49409912147023277,12,2,SGD,0.004247058562261873,0.7408680252426811,0.0016172900811143157,47.0,0.42075823492852704,0.4029806190610327,COMPLETE
2,0.24892224729523024,2026-09-16 06:16:24.293134,2026-09-16 06:17:01.270453,0 days 00:00:36.977319,,,,,128,8,"(5, 7)",64.0,"(3, 7)",,,64,7,0.191460191484347,29,2,SGD,0.00011919481947918739,0.7312885138280583,1.3357240411974112e-06,48.0,0.2591671845866998,0.2386773100037607,COMPLETE
3,0.2530129523797649,2026-09-16 06:17:01.437979,2026-09-16 06:17:25.268862,0 days 00:00:23.830883,,,,,256,64,"(5, 7)",64.0,"(3, 7)",,,16,5,0.19544131940933984,39,2,SGD,0.00046379219034580355,0.734760956526768,2.2410971619109514e-05,47.0,0.26476072094468617,0.24126518381484363,COMPLETE
4,0.2149862305718636,2026-09-16 06:17:25.430002,2026-09-16 06:18:23.503228,0 days 00:00:58.073226,,,,,128,32,"(5, 7)",32.0,"(3, 5)",,,16,7,0.06834881369964377,15,2,SGD,0.00018658181360124853,0.942237723720879,1.91920011015619e-05,18.0,0.21939092604101926,0.21058153510270797,COMPLETE
5,0.35181343786249264,2026-09-16 06:18:23.680822,2026-09-16 06:20:34.449101,0 days 00:02:10.768279,0.9591825764200673,0.9641389614508133,0.0062261634823634615,0.0035346441441965848,64,16,"(3, 7)",64.0,"(3, 5)",,,128,5,0.1227329213425762,12,2,Adam,,,,44.0,0.3536357986326911,0.3499910770922941,COMPLETE
6,0.47013787407549973,2026-09-16 06:20:34.610029,2026-09-16 06:21:03.578949,0 days 00:00:28.968920,,,,,200,32,"(3, 5)",16.0,"(3, 5)",16.0,"(5, 7)",16,3,0.46168897559920186,39,3,SGD,0.008638073353835195,0.7513620970280441,0.005778755734457461,46.0,0.4742075823492853,0.4660681658017142,COMPLETE
7,0.4390829286125951,2026-09-16 06:21:03.741250,2026-09-16 06:21:21.228947,0 days 00:00:17.487697,0.9475822037393375,0.9701781599903122,0.0056852051903320934,0.0009184900818511545,256,16,"(5, 7)",,,,,16,5,0.18211632991902205,21,1,Adam,,,,39.0,0.4493474207582349,0.42881843646695533,COMPLETE
8,0.5333567163965058,2026-09-16 06:21:21.395553,2026-09-16 06:21:52.947666,0 days 00:00:31.552113,,,,,200,32,"(3, 7)",64.0,"(5, 7)",,,64,7,0.29328580472454796,26,2,SGD,0.007390459262954656,0.7247507648481927,1.6096330648219384e-06,47.0,0.5394655065257924,0.5272479262672192,COMPLETE
9,0.25556950238461185,2026-09-16 06:21:53.123181,2026-09-16 06:21:58.732550,0 days 00:00:05.609369,,,,,256,8,"(5, 7)",32.0,"(3, 7)",32.0,"(3, 5)",32,7,0.12794084145950685,24,3,SGD,0.00264558358503855,0.7283719065887904,9.25685584198963e-05,,,,PRUNED
