number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.7252474260397074,2026-09-16 01:12:23.741031,2026-09-16 01:12:38.501390,0 days 00:00:14.760359,0.9828439752154666,0.9964666401041485,0.00021930485556643703,1.8205657658407268e-06,128,64,"(3, 5)",32.0,"(3, 7)",64.0,"(5, 7)",32,3,0.1870761961280168,35,3,Adam,,,,48.0,0.7290322580645161,0.7214625940148987,,COMPLETE
1,0.33972634178612093,2026-09-16 01:12:38.625945,2026-09-16 01:12:55.261034,0 days 00:00:16.635089,,,,,256,16,"(5, 7)",64.0,"(5, 7)",,,64,3,0.49409912147023277,12,2,SGD,0.004247058562261873,0.7408680252426811,0.0016172900811143157,46.0,0.3387096774193548,0.34074300615288705,,COMPLETE
2,0.2295476105128259,2026-09-16 01:12:55.373751,2026-09-16 01:13:11.451768,0 days 00:00:16.078017,,,,,128,8,"(5, 7)",64.0,"(3, 7)",,,64,7,0.191460191484347,29,2,SGD,0.00011919481947918739,0.7312885138280583,1.3357240411974112e-06,36.0,0.25483870967741934,0.2042565113482325,,COMPLETE
3,0.24968859983584973,2026-09-16 01:13:11.575781,2026-09-16 01:13:22.631943,0 days 00:00:11.056162,,,,,256,64,"(5, 7)",64.0,"(3, 7)",,,16,5,0.19544131940933984,39,2,SGD,0.00046379219034580355,0.734760956526768,2.2410971619109514e-05,37.0,0.267741935483871,0.23163526418782845,,COMPLETE
4,0.27457936623861723,2026-09-16 01:13:22.750035,2026-09-16 01:13:32.806677,0 days 00:00:10.056642,,,,,128,32,"(5, 7)",32.0,"(3, 5)",,,16,7,0.06834881369964377,15,2,SGD,0.00018658181360124853,0.942237723720879,1.91920011015619e-05,31.0,0.29354838709677417,0.2556103453804603,,COMPLETE
5,0.6420171057234736,2026-09-16 01:13:32.917940,2026-09-16 01:14:01.250514,0 days 00:00:28.332574,0.9591825764200673,0.9641389614508133,0.0062261634823634615,0.0035346441441965848,64,16,"(3, 7)",64.0,"(3, 5)",,,128,5,0.1227329213425762,12,2,Adam,,,,47.0,0.635483870967742,0.6485503404792051,,COMPLETE
6,0.5508929864164562,2026-09-16 01:14:01.371088,2026-09-16 01:14:10.259744,0 days 00:00:08.888656,,,,,200,32,"(3, 5)",16.0,"(3, 5)",16.0,"(5, 7)",16,3,0.46168897559920186,39,3,SGD,0.008638073353835195,0.7513620970280441,0.005778755734457461,50.0,0.5387096774193548,0.5630762954135576,,COMPLETE
7,0.5065526416622219,2026-09-16 01:14:10.386792,2026-09-16 01:14:16.608995,0 days 00:00:06.222203,0.9475822037393375,0.9701781599903122,0.0056852051903320934,0.0009184900818511545,256,16,"(5, 7)",,,,,16,5,0.18211632991902205,21,1,Adam,,,,29.0,0.5161290322580645,0.49697625106637927,,COMPLETE
8,0.59521895930353,2026-09-16 01:14:16.719370,2026-09-16 01:14:35.477486,0 days 00:00:18.758116,,,,,200,32,"(3, 7)",64.0,"(5, 7)",,,64,7,0.29328580472454796,26,2,SGD,0.007390459262954656,0.7247507648481927,1.6096330648219384e-06,46.0,0.5967741935483871,0.5936637250586729,,COMPLETE
9,0.21975846686494754,2026-09-16 01:14:35.598158,2026-09-16 01:14:37.722806,0 days 00:00:02.124648,,,,,256,8,"(5, 7)",32.0,"(3, 7)",32.0,"(3, 5)",32,7,0.12794084145950685,24,3,SGD,0.0026455835850385506,0.7283719065887904,9.25685584198963e-05,,,,,PRUNED
10,0.30007919037986375,2026-09-16 01:14:37.849319,2026-09-16 01:14:40.327981,0 days 00:00:02.478662,0.8535814031287132,0.9078403310332085,0.00011952270129143879,1.1544608204846162e-06,128,64,"(3, 5)",,,,,32,3,0.1510577183987674,18,1,Adam,,,,,,,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.1510577183987674, ""lr_step_size"": 18, ""n_blocks"": 1, ""optimizer"": ""Adam""}",PRUNED
11,0.595990858416688,2026-09-16 01:14:40.456793,2026-09-16 01:15:07.965728,0 days 00:00:27.508935,0.9828371641033109,0.9995093532845819,0.0040520351707828755,0.005523921577573463,64,16,"(5, 7)",,,,,128,5,0.0929582996120053,13,1,Adam,,,,41.0,0.5935483870967742,0.5984333297366019,"{""batch_size"": 64, ""block_0_filters"": 16, ""block_0_kernel_pair"": ""(5, 7)"", ""first_conv_filters"": 128, ""first_conv_kernel_width"": 5, ""lr_decay"": 0.0929582996120053, ""lr_step_size"": 13, ""n_blocks"": 1, ""optimizer"": ""Adam""}",COMPLETE
12,0.7020114035515319,2026-09-16 01:15:08.085830,2026-09-16 01:15:24.850984,0 days 00:00:16.765154,0.9639584163311221,0.9710312176976565,0.0003630116705113939,1.2343736055046613e-05,64,64,"(3, 5)",8.0,"(3, 5)",64.0,"(5, 7)",32,3,0.1567850179278029,19,3,Adam,,,,49.0,0.6967741935483871,0.7072486135546766,"{""batch_size"": 64, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.1567850179278029, ""lr_step_size"": 19, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
13,0.2981068325438834,2026-09-16 01:15:24.976244,2026-09-16 01:15:28.158489,0 days 00:00:03.182245,0.9898528054459764,0.9915856982815874,0.00023470345283947298,3.1546221073512405e-06,64,64,"(3, 5)",8.0,"(3, 7)",,,32,3,0.1684704591824577,32,2,Adam,,,,,,,"{""batch_size"": 64, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.1684704591824577, ""lr_step_size"": 32, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
14,0.76465646319013,2026-09-16 01:15:28.267303,2026-09-16 01:15:44.839148,0 days 00:00:16.571845,0.9328558346698058,0.9627518719781977,0.0005511728222538503,1.831264727463728e-05,64,64,"(3, 5)",8.0,"(3, 5)",64.0,"(5, 7)",32,3,0.2690558947511455,23,3,Adam,,,,41.0,0.7838709677419354,0.7454419586383246,"{""batch_size"": 64, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.2690558947511455, ""lr_step_size"": 23, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
15,0.8591662868564209,2026-09-16 01:15:44.969137,2026-09-16 01:15:59.193145,0 days 00:00:14.224008,0.9123793065621085,0.9454768997897379,0.0007481534382760826,3.261169837252831e-05,128,64,"(3, 5)",32.0,"(3, 5)",64.0,"(3, 7)",32,3,0.197593394660808,27,3,Adam,,,,48.0,0.867741935483871,0.8505906382289707,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.197593394660808, ""lr_step_size"": 27, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
16,0.8278172496136059,2026-09-16 01:15:59.318522,2026-09-16 01:16:11.706479,0 days 00:00:12.387957,0.9115484582736232,0.9398895353670488,0.001006732365150466,5.867917718192668e-05,256,64,"(3, 5)",8.0,"(3, 5)",64.0,"(3, 7)",32,3,0.4208854946921412,26,3,Adam,,,,50.0,0.8354838709677419,0.8201506282594699,"{""batch_size"": 256, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.4208854946921412, ""lr_step_size"": 26, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
17,0.7099477256621112,2026-09-16 01:16:11.832769,2026-09-16 01:16:24.529395,0 days 00:00:12.696626,0.905874468616249,0.9311190865434478,0.0012263099962068979,0.00011783370972388094,128,64,"(3, 5)",16.0,"(3, 5)",8.0,"(3, 7)",32,3,0.27336475559484796,13,3,Adam,,,,37.0,0.7129032258064516,0.7069922255177706,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.27336475559484796, ""lr_step_size"": 13, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
18,0.8440097148835225,2026-09-16 01:16:24.653983,2026-09-16 01:16:37.022631,0 days 00:00:12.368648,0.8979140224093701,0.9381267762186216,0.001384640548329766,0.00012148531948872178,256,64,"(3, 5)",8.0,"(3, 5)",64.0,"(3, 7)",32,3,0.364128286522986,33,3,Adam,,,,46.0,0.8516129032258064,0.8364065265412386,"{""batch_size"": 256, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.364128286522986, ""lr_step_size"": 33, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
19,0.8853861590967671,2026-09-16 01:16:37.133472,2026-09-16 01:16:49.721906,0 days 00:00:12.588434,0.8803803324855656,0.9371577778238239,0.001969683143746822,0.00030560581576859924,128,64,"(3, 5)",32.0,"(3, 5)",,,32,3,0.45473800176540247,22,2,Adam,,,,49.0,0.8870967741935484,0.8836755439999858,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.45473800176540247, ""lr_step_size"": 22, ""n_blocks"": 2, ""optimizer"": ""Adam""}",COMPLETE
20,0.7056985112136842,2026-09-16 01:16:49.861968,2026-09-16 01:17:00.959795,0 days 00:00:11.097827,0.8656957570409558,0.921018123141278,0.0022724580768072175,0.0006360618714665344,128,64,"(3, 5)",,,,,32,3,0.2940819140859784,21,1,Adam,,,,48.0,0.7064516129032258,0.7049454095241428,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.2940819140859784, ""lr_step_size"": 21, ""n_blocks"": 1, ""optimizer"": ""Adam""}",COMPLETE
