number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.7052803297137735,2026-09-21 15:27:41.381130,2026-09-21 15:27:50.442817,0 days 00:00:09.061687,0.9828439752154666,0.9964666401041485,0.00021930485556643703,1.8205657658407268e-06,128,64,"(3, 5)",32.0,"(3, 7)",64.0,"(5, 7)",32,3,0.1870761961280168,35,3,Adam,,,,50.0,0.7218934911242604,0.6886671683032866,,COMPLETE
1,0.3366732373108259,2026-09-21 15:27:50.568666,2026-09-21 15:28:00.398299,0 days 00:00:09.829633,,,,,256,16,"(5, 7)",64.0,"(5, 7)",,,64,3,0.49409912147023277,12,2,SGD,0.004247058562261873,0.7408680252426811,0.0016172900811143157,36.0,0.33136094674556216,0.34198552787608966,,COMPLETE
2,0.23726496686402349,2026-09-21 15:28:00.504129,2026-09-21 15:28:10.027392,0 days 00:00:09.523263,,,,,128,8,"(5, 7)",64.0,"(3, 7)",,,64,7,0.191460191484347,29,2,SGD,0.00011919481947918739,0.7312885138280583,1.3357240411974112e-06,20.0,0.3076923076923077,0.16683762603573923,,COMPLETE
3,0.22418171934301545,2026-09-21 15:28:10.151953,2026-09-21 15:28:16.942126,0 days 00:00:06.790173,,,,,256,64,"(5, 7)",64.0,"(3, 7)",,,16,5,0.19544131940933984,39,2,SGD,0.00046379219034580355,0.734760956526768,2.2410971619109514e-05,25.0,0.23668639053254437,0.2116770481534865,,COMPLETE
4,0.18362997158386551,2026-09-21 15:28:17.066316,2026-09-21 15:28:23.409770,0 days 00:00:06.343454,,,,,128,32,"(5, 7)",32.0,"(3, 5)",,,16,7,0.06834881369964377,15,2,SGD,0.00018658181360124853,0.942237723720879,1.91920011015619e-05,15.0,0.1834319526627219,0.18382799050500914,,COMPLETE
5,0.7530108130706867,2026-09-21 15:28:23.514295,2026-09-21 15:28:39.355791,0 days 00:00:15.841496,0.9591825764200673,0.9641389614508133,0.0062261634823634615,0.0035346441441965848,64,16,"(3, 7)",64.0,"(3, 5)",,,128,5,0.1227329213425762,12,2,Adam,,,,50.0,0.757396449704142,0.7486251764372316,,COMPLETE
6,0.19414168565816006,2026-09-21 15:28:39.477556,2026-09-21 15:28:40.878195,0 days 00:00:01.400639,,,,,200,32,"(3, 5)",16.0,"(3, 5)",16.0,"(5, 7)",16,3,0.46168897559920186,39,3,SGD,0.008638073353835195,0.7513620970280441,0.005778755734457461,,,,,PRUNED
7,0.5619985681798869,2026-09-21 15:28:40.979149,2026-09-21 15:28:45.187276,0 days 00:00:04.208127,0.9475822037393375,0.9701781599903122,0.0056852051903320934,0.0009184900818511545,256,16,"(5, 7)",,,,,16,5,0.18211632991902205,21,1,Adam,,,,49.0,0.5739644970414202,0.5500326393183537,,COMPLETE
8,0.5201443361480296,2026-09-21 15:28:45.312070,2026-09-21 15:28:56.086863,0 days 00:00:10.774793,,,,,200,32,"(3, 7)",64.0,"(5, 7)",,,64,7,0.29328580472454796,26,2,SGD,0.007390459262954656,0.7247507648481927,1.6096330648219384e-06,50.0,0.5266272189349113,0.513661453361148,,COMPLETE
9,0.10703408471966172,2026-09-21 15:28:56.191379,2026-09-21 15:28:57.637202,0 days 00:00:01.445823,,,,,256,8,"(5, 7)",32.0,"(3, 7)",32.0,"(3, 5)",32,7,0.12794084145950685,24,3,SGD,0.0026455835850385506,0.7283719065887904,9.25685584198963e-05,,,,,PRUNED
10,0.37805323492136683,2026-09-21 15:28:57.761176,2026-09-21 15:29:07.126878,0 days 00:00:09.365702,0.8517235637390912,0.9028449812848832,0.008553371098883598,0.00668274470245629,64,32,"(3, 7)",8.0,"(3, 5)",,,128,5,0.08717888618338851,30,2,Adam,,,,,,,"{""batch_size"": 64, ""block_0_filters"": 32, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 128, ""first_conv_kernel_width"": 5, ""lr_decay"": 0.08717888618338851, ""lr_step_size"": 30, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
11,0.3015511584978865,2026-09-21 15:29:07.251346,2026-09-21 15:29:09.847000,0 days 00:00:02.595654,0.98226453128857,0.9972230608180617,0.0001228386182541863,1.1654604771505855e-06,128,64,"(3, 7)",32.0,"(3, 5)",,,32,3,0.16451925686204188,25,2,Adam,,,,,,,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 3, ""lr_decay"": 0.16451925686204188, ""lr_step_size"": 25, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
12,0.8054315908294747,2026-09-21 15:29:09.962113,2026-09-21 15:29:20.997878,0 days 00:00:11.035765,0.9658634277656869,0.9633251537319909,0.0004569187907682739,9.522548002348457e-06,128,64,"(3, 5)",16.0,"(3, 7)",64.0,"(5, 7)",64,5,0.19573648372727184,35,3,Adam,,,,33.0,0.8165680473372781,0.7942951343216713,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 5, ""lr_decay"": 0.19573648372727184, ""lr_step_size"": 35, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
13,0.8652827474090174,2026-09-21 15:29:21.130984,2026-09-21 15:29:31.798782,0 days 00:00:10.667798,0.9325437902584063,0.9529932412736779,0.0009747417604810698,5.039156628791327e-05,200,64,"(3, 5)",16.0,"(3, 7)",64.0,"(3, 7)",64,5,0.281233264359971,32,3,Adam,,,,48.0,0.8698224852071006,0.8607430096109342,"{""batch_size"": 200, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 5, ""lr_decay"": 0.281233264359971, ""lr_step_size"": 32, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
14,0.7710536593455145,2026-09-21 15:29:31.890986,2026-09-21 15:29:42.996361,0 days 00:00:11.105375,0.9182236958999204,0.9435546786837871,0.0007429118755525648,3.7601458670818396e-05,128,64,"(3, 7)",16.0,"(3, 7)",64.0,"(3, 7)",64,5,0.10696815907093088,38,3,Adam,,,,48.0,0.7988165680473372,0.7432907506436918,"{""batch_size"": 128, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 5, ""lr_decay"": 0.10696815907093088, ""lr_step_size"": 38, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
15,0.8152825089861544,2026-09-21 15:29:43.122314,2026-09-21 15:29:53.768188,0 days 00:00:10.645874,0.918391680100792,0.9422949935478321,0.0006056190611954251,2.760351850798291e-05,200,64,"(3, 5)",16.0,"(3, 7)",64.0,"(3, 7)",64,5,0.26243024659604286,30,3,Adam,,,,47.0,0.8224852071005917,0.8080798108717172,"{""batch_size"": 200, ""block_0_filters"": 64, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 64, ""first_conv_kernel_width"": 5, ""lr_decay"": 0.26243024659604286, ""lr_step_size"": 30, ""n_blocks"": 3, ""optimizer"": ""Adam""}",COMPLETE
16,0.2557556429026215,2026-09-21 15:29:53.878595,2026-09-21 15:29:55.243311,0 days 00:00:01.364716,0.9126694302725086,0.9321083084429433,0.001455885939323932,9.83430475536404e-05,200,16,"(3, 5)",16.0,"(3, 7)",8.0,"(3, 7)",32,5,0.2852330717568375,25,3,Adam,,,,,,,"{""batch_size"": 200, ""block_0_filters"": 16, ""block_0_kernel_pair"": ""(3, 5)"", ""first_conv_filters"": 32, ""first_conv_kernel_width"": 5, ""lr_decay"": 0.2852330717568375, ""lr_step_size"": 25, ""n_blocks"": 3, ""optimizer"": ""Adam""}",PRUNED
