number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.6943627030959587,2026-09-19 19:47:56.911232,2026-09-19 19:48:05.754444,0 days 00:00:08.843212,0.9828439752154666,0.9964666401041485,0.00021930485556643703,1.8205657658407268e-06,128,64,"(3, 5)",32.0,"(3, 7)",64.0,"(5, 7)",32,3,0.1870761961280168,35,3,Adam,,,,50.0,0.7041420118343196,0.6845833943575979,,COMPLETE
1,0.33812644664650726,2026-09-19 19:48:05.854932,2026-09-19 19:48:15.632788,0 days 00:00:09.777856,,,,,256,16,"(5, 7)",64.0,"(5, 7)",,,64,3,0.49409912147023277,12,2,SGD,0.004247058562261873,0.7408680252426811,0.0016172900811143157,33.0,0.33136094674556216,0.34489194654745237,,COMPLETE
2,0.23726496686402349,2026-09-19 19:48:15.711069,2026-09-19 19:48:25.180568,0 days 00:00:09.469499,,,,,128,8,"(5, 7)",64.0,"(3, 7)",,,64,7,0.191460191484347,29,2,SGD,0.00011919481947918739,0.7312885138280583,1.3357240411974112e-06,20.0,0.3076923076923077,0.16683762603573923,,COMPLETE
3,0.22418171934301545,2026-09-19 19:48:25.279492,2026-09-19 19:48:32.020544,0 days 00:00:06.741052,,,,,256,64,"(5, 7)",64.0,"(3, 7)",,,16,5,0.19544131940933984,39,2,SGD,0.00046379219034580355,0.734760956526768,2.2410971619109514e-05,25.0,0.23668639053254437,0.2116770481534865,,COMPLETE
4,0.18362997158386551,2026-09-19 19:48:32.122996,2026-09-19 19:48:37.962346,0 days 00:00:05.839350,,,,,128,32,"(5, 7)",32.0,"(3, 5)",,,16,7,0.06834881369964377,15,2,SGD,0.00018658181360124853,0.942237723720879,1.91920011015619e-05,15.0,0.1834319526627219,0.18382799050500914,,COMPLETE
5,0.7411289189362393,2026-09-19 19:48:38.053646,2026-09-19 19:48:53.951837,0 days 00:00:15.898191,0.9591825764200673,0.9641389614508133,0.0062261634823634615,0.0035346441441965848,64,16,"(3, 7)",64.0,"(3, 5)",,,128,5,0.1227329213425762,12,2,Adam,,,,45.0,0.7396449704142012,0.7426128674582774,,COMPLETE
6,0.187688734408557,2026-09-19 19:48:54.045045,2026-09-19 19:48:55.266190,0 days 00:00:01.221145,,,,,200,32,"(3, 5)",16.0,"(3, 5)",16.0,"(5, 7)",16,3,0.46168897559920186,39,3,SGD,0.008638073353835195,0.7513620970280441,0.005778755734457461,,,,,PRUNED
7,0.5564783557865987,2026-09-19 19:48:55.366434,2026-09-19 19:48:59.243568,0 days 00:00:03.877134,0.9475822037393375,0.9701781599903122,0.0056852051903320934,0.0009184900818511545,256,16,"(5, 7)",,,,,16,5,0.18211632991902205,21,1,Adam,,,,49.0,0.5680473372781065,0.5449093742950907,,COMPLETE
8,0.5071619810951848,2026-09-19 19:48:59.347224,2026-09-19 19:49:10.191591,0 days 00:00:10.844367,,,,,200,32,"(3, 7)",64.0,"(5, 7)",,,64,7,0.29328580472454796,26,2,SGD,0.007390459262954656,0.7247507648481927,1.6096330648219384e-06,48.0,0.5088757396449705,0.5054482225453992,,COMPLETE
9,0.10710355328085158,2026-09-19 19:49:10.313273,2026-09-19 19:49:11.660894,0 days 00:00:01.347621,,,,,256,8,"(5, 7)",32.0,"(3, 7)",32.0,"(3, 5)",32,7,0.12794084145950685,24,3,SGD,0.0026455835850385506,0.7283719065887904,9.25685584198963e-05,,,,,PRUNED
10,0.2672231716212643,2026-09-19 19:49:11.759328,2026-09-19 19:49:16.216904,0 days 00:00:04.457576,0.8517235637390912,0.9028449812848832,0.008553371098883598,0.00668274470245629,64,32,"(3, 7)",8.0,"(3, 5)",,,128,5,0.08717888618338851,30,2,Adam,,,,,,,"{""batch_size"": 64, ""block_0_filters"": 32, ""block_0_kernel_pair"": ""(3, 7)"", ""first_conv_filters"": 128, ""first_conv_kernel_width"": 5, ""lr_decay"": 0.08717888618338851, ""lr_step_size"": 30, ""n_blocks"": 2, ""optimizer"": ""Adam""}",PRUNED
